id,subdistrict_id,soil_type_id,fertility_top,ph_top,ph_low,year
10910202,910202,51,L,4.5-5.0,4.5-5.5,2566
10910203,910203,51,L,4.5-5.0,4.5-5.5,2566
10910204,910204,34,L,5.0-5.5,4.5-5.0,2566
10910301,910301,62,zSC,zSC,zSC,2566
10910302,910302,51,L,4.5-5.0,4.5-5.5,2566
10910303,910303,51,L,4.5-5.0,4.5-5.5,2566
10910401,910401,45,L,5.0-6.0,4.5-5.5,2566
10910402,910402,45,L,5.0-6.0,4.5-5.5,2566
10910403,910403,6,L,5.5-6.5,4.5-5.5,2566
10910404,910404,6,L,5.5-6.5,4.5-5.5,2566
10910501,910501,62,zSC,zSC,zSC,2566
10910502,910502,13,H,6.0-8.0,7.5-8.0,2566
10910503,910503,45,L,5.0-6.0,4.5-5.5,2566
10910504,910504,62,zSC,zSC,zSC,2566
10910505,910505,51,L,4.5-5.0,4.5-5.5,2566
10910506,910506,13,H,6.0-8.0,7.5-8.0,2566
10910601,910601,51,L,4.5-5.0,4.5-5.5,2566
10910602,910602,51,L,4.5-5.0,4.5-5.5,2566
10910603,910603,43,L,5.0-6.5,5.0-6.0,2566
10910605,910605,51,L,4.5-5.0,4.5-5.5,2566
10910701,910701,51,L,4.5-5.0,4.5-5.5,2566
10910702,910702,51,L,4.5-5.0,4.5-5.5,2566
10920101,920101,45,L,5.0-6.0,4.5-5.5,2566
10920104,920104,26,M,5.0-6.5,4.5-5.5,2566
10920105,920105,39,L,5.0-5.5,4.5-5.0,2566
10920106,920106,51,L,5.0-5.5,4.5-5.5,2566
10920107,920107,17,L,5.5-6.5,4.5-5.5,2566
10920108,920108,26,L,4.5-5.0,4.5-5.5,2566
10920109,920109,32,L,4.5-6.0,4.5-5.0,2566
10920110,920110,17,L,4.5-5.5,4.5-5.5,2566
10920113,920113,34,L,5.0-5.5,4.5-5.0,2566
10920114,920114,34,L,5.0-5.5,4.5-5.5,2566
10920115,920115,53,L,5.0-5.5,4.5-5.5,2566
10920117,920117,32,L,4.5-6.0,4.5-5.5,2566
10920118,920118,62,L,5.0-5.5,4.5-5.5,2566
10920119,920119,62,L,zSC,4.5-5.5,2566
10920120,920120,34,L,5.0-5.5,4.5-5.0,2566
10920201,920201,62,L,5.0-5.5,zSC,2566
10920202,920202,34,L,5.0-5.5,4.5-5.0,2566
10920203,920203,62,L,zSC,zSC,2566
10920204,920204,50,L,5.5-6.5,5.0-5.5,2566
10920205,920205,62,L,zSC,zSC,2566
10920206,920206,13,L,6.0-8.0,7.5-8.0,2566
10920207,920207,50,L,zSC,4.5-5.5,2566
10920208,920208,34,L,5.0-5.5,4.5-5.5,2566
10920209,920209,34,L,5.0-5.5,4.5-5.0,2566
10920210,920210,62,L,5.0-5.5,4.5-5.5,2566
10920211,920211,50,L,5.0-6.5,4.5-5.5,2566
10920212,920212,13,H,6.0-8.0,7.5-8.0,2566
10920213,920213,62,L,6.0-8.0,zSC,2566
10920214,920214,17,L,5.0-5.5,4.5-5.5,2566
10920301,920301,26,M,5.0-6.5,4.5-5.5,2566
10920302,920302,26,L,5.0-6.5,4.5-5.5,2566
10920303,920303,26,L,4.5-5.0,4.5-5.5,2566
